rank,token,pos,core_score,tfidf_avg_seen,total_count,doc_freq,doc_freq_ratio
71,앞,NNG,0.7847992038153847,3.9239960190769234,20,13,0.2
72,인생,NNG,0.782635581536923,6.3589140999875,17,8,0.12307692307692308
73,선택,NNG,0.7826355815353846,6.358914099974999,17,8,0.12307692307692308
74,상황,NNG,0.7672215739538463,4.155783525583334,19,12,0.18461538461538463
75,중요,NNG,0.7672215739538463,4.155783525583334,19,12,0.18461538461538463
76,들어가다,VV,0.7672215739507692,4.155783525566666,19,12,0.18461538461538463
77,아이,NNG,0.7655909416215385,7.109058743628571,16,7,0.1076923076923077
78,편지,NNG,0.7552693760046154,24.54625472015,12,2,0.03076923076923077
79,주제,NNG,0.7485564445338462,8.10936148245,15,6,0.09230769230769231
80,목소리,NNG,0.7318543664492309,9.514106763840001,14,5,0.07692307692307693
81,상,NNG,0.7318543664492309,9.514106763840001,14,5,0.07692307692307693
82,시리즈,NNG,0.7318543664492309,9.514106763840001,14,5,0.07692307692307693
83,실리다,VV,0.7268414911153845,3.9370580768749996,18,12,0.18461538461538463
84,요즘,NNG,0.7268414911153845,3.9370580768749996,18,12,0.18461538461538463
85,사다,VV,0.7253920965738462,3.36789187695,19,14,0.2153846153846154
86,독자,NNG,0.7177415077692308,6.664742572142857,15,7,0.1076923076923077
87,위로,NNG,0.7177415077692308,6.664742572142857,15,7,0.1076923076923077
88,존재,NNG,0.7177415077692308,6.664742572142857,15,7,0.1076923076923077
89,주다,VV,0.70747168742,2.7050388048411764,20,17,0.26153846153846155
90,끝,NNG,0.7073956548892307,4.1800652334363635,17,11,0.16923076923076924
91,수상,NNG,0.7021588395523077,15.213441523633334,12,3,0.046153846153846156
92,배경,NNG,0.6986526815630769,7.568737383599999,14,6,0.09230769230769231
93,조금,NNG,0.6986526815630769,7.568737383599999,14,6,0.09230769230769231
94,엄마,NNG,0.6905608072384616,5.6108065588125005,15,8,0.12307692307692308
95,힘들다,VA,0.6872135651738461,3.190634409735714,18,14,0.2153846153846154
96,지금,NNG,0.6872135651723077,3.1906344097285713,18,14,0.2153846153846154
97,이름,NNG,0.687202330883077,4.4668151507400005,16,10,0.15384615384615385
98,자체,NNG,0.6693413593292308,2.90047922376,18,15,0.23076923076923078
